#OTU ID,Expected,Observed_Tier1,EVEN_TIER,Pct,Pct_number,Code,Phylum,Species,Ratio
OTU_26,1841.263112,0,E2,0,E_PCT2,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_27,1325.021118,138,E2,0.138817636,E_PCT2,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_28,2615.626104,79,E2,0.079468067,E_PCT2,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234
OTU_29,4474.097282,0,E2,0,E_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_3,5678.661935,0,E2,0,E_PCT2,CBS675.73,Chytridiomycota,Chytridium confervae,0.057123074
OTU_30,1282.000952,0,E2,0,E_PCT2,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_31,2443.545439,0,E2,0,E_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_32,4474.097282,0,E2,0,E_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_33,2323.088974,0,E2,0,E_PCT2,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_34,2443.545439,0,E2,0,E_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_35,9980.678553,0,E2,0,E_PCT2,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_36,7872.69041,18,E2,0.018106648,E_PCT2,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353
OTU_37,2787.706768,0,E2,0,E_PCT2,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_38,903.4234897,0,E2,0,E_PCT2,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_39,5076.379609,0,E2,0,E_PCT2,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_4,10152.75922,2235,E2,2.248242146,E_PCT2,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133
OTU_40,2443.545439,0,E2,0,E_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_41,4474.097282,0,E2,0,E_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_42,4560.137615,520,E2,0.523080947,E_PCT2,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_43,1325.021118,21,E2,0.021124423,E_PCT2,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_44,0,6,E2,0.006035549,E_PCT2,,,,
OTU_45,1325.021118,1,E2,0.001005925,E_PCT2,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_46,2443.545439,1,E2,0.001005925,E_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_47,2219.840575,0,E2,0,E_PCT2,CBS385.35,Ascomycota,Xylaria mali,0.022329929
OTU_48,2443.545439,0,E2,0,E_PCT2,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_49,791.5710576,0,E2,0,E_PCT2,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_5,4560.137615,10021,E2,10.0803734,E_PCT2,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_50,4388.05695,5,E2,0.005029624,E_PCT2,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_51,1282.000952,0,E2,0,E_PCT2,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_52,1282.000952,6,E2,0.006035549,E_PCT2,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_53,1282.000952,2,E2,0.00201185,E_PCT2,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_54,4474.097282,4,E2,0.0040237,E_PCT2,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_55,903.4234897,0,E2,0,E_PCT2,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_6,5076.379609,6329,E2,6.366498677,E_PCT2,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_7,869.0073568,4077,E2,4.101155808,E_PCT2,CBS107930,Basidiomycota,Hericium abietis,0.008741561
OTU_8,1841.263112,7694,E2,7.739586162,E_PCT2,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_9,1282.000952,2600,E2,2.615404734,E_PCT2,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_1,4403.10888,24688,E3,24.74937846,E_PCT3,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_10,0,0,E3,0,E_PCT3,,,,
OTU_11,4489.444348,608,E3,0.609511589,E_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_12,897.8888697,3343,E3,3.351311252,E_PCT3,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212
OTU_13,794.2863078,3981,E3,3.990897426,E_PCT3,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_14,794.2863078,0,E3,0,E_PCT3,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_15,2331.057642,2132,E3,2.137300505,E_PCT3,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_16,2676.399515,967,E3,0.969404122,E_PCT3,CBS210.32,Zygomycota,Mortierella alpina,0.026830535
OTU_17,1743.976458,1453,E3,1.456612399,E_PCT3,CBS6001,Basidiomycota,Malassezia,0.017483123
OTU_18,2451.927298,0,E3,0,E_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_19,2451.927298,292,E3,0.29272596,E_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_2,405.7767007,28919,E3,28.99089743,E_PCT3,P3112,Basidiomycota,Pucciniomycotina,0.004067855
OTU_20,1092.143673,1396,E3,1.399470687,E_PCT3,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589
OTU_21,10014.91432,402,E3,0.402999439,E_PCT3,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_22,4489.444348,600,E3,0.601491699,E_PCT3,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059
OTU_23,2797.269171,218,E3,0.218541984,E_PCT3,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236
OTU_24,2348.324736,474,E3,0.475178443,E_PCT3,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631
OTU_25,0,775,E3,0.776926778,E_PCT3,,,,
OTU_26,1847.57902,0,E3,0,E_PCT3,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_27,1329.566211,433,E3,0.43407651,E_PCT3,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_28,2624.598234,169,E3,0.169420162,E_PCT3,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234
OTU_29,4489.444348,0,E3,0,E_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_3,5698.140904,0,E3,0,E_PCT3,CBS675.73,Chytridiomycota,Chytridium confervae,0.057123074
OTU_30,1286.398477,0,E3,0,E_PCT3,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_31,2451.927298,0,E3,0,E_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_32,4489.444348,0,E3,0,E_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_33,2331.057642,0,E3,0,E_PCT3,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_34,2451.927298,0,E3,0,E_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_35,10014.91432,0,E3,0,E_PCT3,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_36,7899.695344,27,E3,0.027067126,E_PCT3,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353
OTU_37,2797.269171,0,E3,0,E_PCT3,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_38,906.5224165,0,E3,0,E_PCT3,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_39,5093.792626,0,E3,0,E_PCT3,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_4,10187.58525,3850,E3,3.859571738,E_PCT3,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133
OTU_40,2451.927298,0,E3,0,E_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_41,4489.444348,0,E3,0,E_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_42,4575.779817,362,E3,0.362899992,E_PCT3,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_43,1329.566211,2,E3,0.002004972,E_PCT3,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_44,0,8,E3,0.008019889,E_PCT3,,,,
OTU_45,1329.566211,11,E3,0.011027348,E_PCT3,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_46,2451.927298,5,E3,0.005012431,E_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_47,2227.45508,4,E3,0.004009945,E_PCT3,CBS385.35,Ascomycota,Xylaria mali,0.022329929
OTU_48,2451.927298,33,E3,0.033082043,E_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_49,794.2863078,4,E3,0.004009945,E_PCT3,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_5,4575.779817,7061,E3,7.078554816,E_PCT3,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_50,4403.10888,8,E3,0.008019889,E_PCT3,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_51,1286.398477,0,E3,-0.002004972,E_PCT3,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_52,1286.398477,7,E3,0.007017403,E_PCT3,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_53,1286.398477,14,E3,0.014034806,E_PCT3,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_54,4489.444348,6,E3,0.006014917,E_PCT3,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_55,906.5224165,12,E3,0.012029834,E_PCT3,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_6,5093.792626,3003,E3,3.010465956,E_PCT3,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_7,871.9882292,4442,E3,4.453043548,E_PCT3,CBS107930,Basidiomycota,Hericium abietis,0.008741561
OTU_8,1847.57902,3668,E3,3.677119256,E_PCT3,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_9,1286.398477,6377,E3,6.392854279,E_PCT3,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
