OTU_ID,Code,Phylum,Species,Ratio,EVEN_TIER,Pct_number,Pct,Expected,Observed,log10Expected,log10Observed
OTU_36,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353,T2,T_PCT2,0.089299581,6119.111996,69,3.786688402,1.838849091
OTU_8,CBS6965,Basidiomycota,Tremella aurantia,0.018521724,T2,T_PCT2,2.939120982,1431.136576,2271,3.155681081,3.356217134
OTU_1,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557,T3,T_PCT3,40.70332382,2861.853038,26390,3.456647328,4.42143939
OTU_15,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853,T3,T_PCT3,2.245700625,1515.098667,1456,3.180440916,3.163161375
OTU_27,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,T3,T_PCT3,0.350119534,864.1673879,227,2.936597873,2.356025857
OTU_11,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059,T3,T_PCT3,3.075499344,2917.967803,1994,3.465080496,3.299725154
OTU_22,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059,T3,T_PCT3,0.942392226,2917.967803,611,3.465080496,2.78604121
OTU_13,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261,T3,T_PCT3,1.119765559,516.2558421,726,2.712864979,2.860936621
OTU_9,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,T3,T_PCT3,2.415362073,836.1100052,1566,2.92226342,3.194791758
OTU_24,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631,T3,T_PCT3,0.637001619,1526.32162,413,3.183646056,2.615950052
OTU_21,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131,T3,T_PCT3,1.274003239,6509.312792,826,3.813535141,2.916980047
OTU_17,CBS6001,Basidiomycota,Malassezia,0.017483123,T3,T_PCT3,1.255494717,1133.518262,814,3.054428521,2.910624405
OTU_42,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,T3,T_PCT3,0.2992211,2974.082569,194,3.473353022,2.28780173
OTU_5,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,T3,T_PCT3,5.475437649,2974.082569,3550,3.473353022,3.550228353
OTU_16,CBS210.32,Zygomycota,Mortierella alpina,0.026830535,T3,T_PCT3,2.413819696,1739.557729,1565,3.240438846,3.194514342
OTU_28,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234,T3,T_PCT3,0.137271535,1705.88887,89,3.231950736,1.949390007
OTU_4,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133,T3,T_PCT3,23.12794016,6621.542323,14995,3.820959159,4.17594647
OTU_23,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236,T3,T_PCT3,0.845222488,1818.118401,548,3.259622162,2.738780558
OTU_2,P3112,Basidiomycota,Pucciniomycotina,0.004067855,T3,T_PCT3,2.276548161,263.7393976,1476,2.42117501,3.169086357
OTU_19,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,T3,T_PCT3,2.072954423,1593.659339,1344,3.202395492,3.128399269
OTU_6,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566,T3,T_PCT3,5.435335853,3310.771162,3524,3.519929164,3.5470359
OTU_12,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212,T3,T_PCT3,0.536747127,583.5935607,348,2.766110491,2.541579244
OTU_36,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353,T3,T_PCT3,0.095627362,5134.501039,62,3.710498246,1.792391689
