"OTU_ID","Code","Phylum","Species","TIER1_OBS","TIER2_OBS","TIER3_OBS","EVEN1_OBS","EVEN2_OBS","EVEN3_OBS","MockNeg_R1","Ratio","TIER1_EXP","TIER2_EXP","TIER3_EXP","EVEN1_EXP","EVEN2_EXP","EVEN3_EXP","Tier_OBS_avg","Even_OBS_avg","T1_OBS_PCT","T2_OBS_PCT","T3_OBS_PCT","E1_OBS_PCT","E2_OBS_PCT","E3_OBS_PCT"
"OTU_1","CBS158.61","Ascomycota","Acremonium kiliense",46025,30772,30772,25754,30015,24689,1293,0.044140557,2031.569135925,1358.293220004,1358.293220004,1136.795904978,1324.878818355,1089.786211773,35856.3333333333,26819.3333333333,42.3078337286048,37.7422361772065,37.7422361772065,25.162185399406,29.2449796848967,23.905150127325
"OTU_10","na","#N/A","#N/A",0,0,0,0,0,0,66397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11","CBS121445","Ascomycota","Coniochaeta prunicola",2874,3139,3139,1122,257,1237,359,0.045006059,129.347413566,141.274019201,141.274019201,50.496798198,11.566557163,55.672494983,3050.66666666667,872,2.64188406596437,3.85002207722121,3.85002207722121,1.09621697670783,0.250406789239328,1.19772654653899
"OTU_12","CBS408.71","Basidiomycota","Sparassis crispa",627,455,455,3197,4522,3343,0,0.009001212,5.643759924,4.09555146,4.09555146,28.776874764,40.703480664,30.091051716,512.333333333333,3687.33333333333,0.576360928795985,0.55806309179218,0.55806309179218,3.12353446928248,4.40599027603208,3.23686325390447
"OTU_13","CBS161.73","Ascomycota","Epicoccum nigrum",823,801,801,4099,2912,3981,0,0.00796261,6.55322803,6.37805061,6.37805061,32.63873839,23.18712032,31.69915041,808.333333333333,3664,0.756531171290423,0.982436344012167,0.982436344012167,4.00480694075348,2.83729404772344,3.85460742261253
"OTU_14","CBS161.73","Ascomycota","Epicoccum nigrum",0,0,0,0,0,0,14925,0.00796261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_15","CBS388.52","Ascomycota","Botryotinia sp.",1675,1834,1834,2016,938,2132,0,0.02336853,39.14228775,42.85788402,42.85788402,47.11095648,21.91968114,49.82170596,1781,1695.33333333333,1.53972018458257,2.24942353922386,2.24942353922386,1.96967328435204,0.913936063449378,2.06431123461691
"OTU_16","CBS210.32","Zygomycota","Mortierella alpina",1848,1893,1893,910,547,967,0,0.026830535,49.58282868,50.790202755,50.790202755,24.41578685,14.676302645,25.945127345,1878,808,1.69874800066185,2.3217877643134,2.3217877643134,0.889088635297796,0.532966979431567,0.936298763543411
"OTU_17","CBS6001","Basidiomycota","Malassezia",930,896,896,1484,2065,1453,0,0.017483123,16.25930439,15.664878208,15.664878208,25.944954532,36.102648995,25.402977719,907.333333333333,1667.33333333333,0.854889415917489,1.09895501152922,1.09895501152922,1.44989838987025,2.01202342326542,1.40686877293545
"OTU_18","CBS352","Ascomycota","Schizosaccharomyces pombe",0,0,0,0,0,0,13133,0.024580232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_19","CBS352","Ascomycota","Schizosaccharomyces pombe",2117,1868,1868,237,131,292,0,0.024580232,52.036351144,45.915873376,45.915873376,5.825514984,3.220010392,7.177427744,1951,220,1.94602246612616,2.29112495707207,2.29112495707207,0.231553853368767,0.127639258328218,0.282729306054474
"OTU_2","P3112","Basidiomycota","Pucciniomycotina",1923,1839,1839,27082,21500,28919,374,0.004067855,7.822485165,7.480785345,7.480785345,110.16564911,87.4588825,117.638298745,1867,25833.6666666667,1.76769069549391,2.25555610067213,2.25555610067213,26.4596685946537,20.9484278935625,28.0008520609224
"OTU_20","CBS124948","Ascomycota","Colletotrichum tropicale",203,107,107,1743,1733,1703,0,0.010948589,2.222563567,1.171499023,1.171499023,19.083390627,18.973904737,18.645447067,139,1726.33333333333,0.186604894012097,0.131236814992886,0.131236814992886,1.7029466937627,1.68854072276948,1.64893153496839
"OTU_21","CBS110123","Ascomycota","Lecanicillium muscarium",1372,1048,1048,353,307,402,0,0.100398131,137.746235732,105.217241288,105.217241288,35.440540243,30.822226217,40.360048662,1156,354,1.26119169746107,1.28538487955649,1.28538487955649,0.344888228857277,0.299124063410404,0.389236921348967
"OTU_22","CBS197.82","Ascomycota","Dendrothyrium variisporum",852,665,665,657,288,600,0,0.045006059,38.345162268,29.929029235,29.929029235,29.568980763,12.961744992,27.0036354,727.333333333333,515,0.783189013292152,0.81563067261934,0.81563067261934,0.641902454275442,0.280611499225395,0.580950628879056
"OTU_23","CBS186.71","Ascomycota","Pestalotiopsis chamaeropis",645,785,785,369,182,377,1,0.028042236,18.08724222,22.01315526,22.01315526,10.347585084,5.103686952,10.571922972,738.333333333333,309.333333333333,0.592907175555678,0.962812147377717,0.962812147377717,0.360520556510864,0.177330877982715,0.365030645145673
"OTU_24","CBS130859","Ascomycota","Hypocrea orientalis",593,519,519,396,195,474,0,0.023541631,13.960187183,12.218106489,12.218106489,9.322485876,4.590618045,11.158733094,543.666666666667,355,0.545106907138786,0.636559878329981,0.636559878329981,0.386900109426294,0.189997369267195,0.458950996814454
"OTU_25","#N/A","#N/A","#N/A",128,131,131,821,1158,775,0,0,0,0,0,0,0,0,130,918,0.117662199180042,0.160673109944562,0.160673109944562,0.802133812724715,1.12829206980211,0.750394562302114
"OTU_26","CBS6965","Basidiomycota","Tremella aurantia",0,0,0,0,0,0,3265,0.018521724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
