Species,Unique ID,E_load,Leaf_ID,Trial_date_ant,Colony_ID,Colony_location_Pipeline-Gamboa,Picture_ID,Time_start_trial,Attempt,Time_first_contact,Time_first_cut,Time_end_elapsed_trial,Trial_success,Leaf_area_initial,Leaf_area_final,Total_leaf_area_cut,Analyzer,Date_analyzed,X_coordinates,Y_coordinates,Elevation_meters
THEOCA,T2_E-_THEO_03,E-,D,7/3/2019,COL26,Gamboa,,1:08 PM,1,0:00:30,0:01:30,2:00:00,1,1737.939,970.528,767.411,MD,11.21.19,,,
THEOCA,T2_E+_THEO_04,E+,D,7/3/2019,COL26,Gamboa,,1:08 PM,1,0:07:35,0:45:16,2:00:00,1,1393.276,1370.261,23.015,MD,11.21.19,,,
THEOCA,T3_E-_THEO_05,E-,D,7/4/2019,COL27,Gamboa,,4:30 PM,4,0:03:20,0:08:45,1:25:11,1,1182.283,423.994,758.289,MD,11.21.19,,,
THEOCA,T3_E+_THEO_06,E+,D,7/4/2019,COL27,Gamboa,,4:30 PM,4,0:01:09,,1:25:11,1,1214.211,1214.211,0,MD,11.21.19,,,
THEOCA,T4_E-_THEO_07,E-,D,7/5/2019,COL06,Pipeline,,10:20 AM,2,0:11:19,0:24:30,1:05:00,1,1441.033,557.12,883.913,MD,11.21.19,,,
THEOCA,T4_E+_THEO_08,E+,D,7/5/2019,COL06,Pipeline,,10:20 AM,2,0:03:10,0:07:26,1:05:00,1,1421.372,718.656,702.716,MD,11.21.19,,,
THEOCA,T5_E-_THEO_09,E-,D,7/5/2019,COL07,Pipeline,,2:29 PM,1,0:20:22,0:20:22,2:00:00,1,1295.216,1286.492,8.724,MD,11.21.19,,,
THEOCA,T5_E+_THEO_10,E+,D,7/5/2019,COL07,Pipeline,,2:29 PM,1,0:09:09,,2:00:00,1,1130.829,909.773,221.056,MD,11.21.19,,,
CHRYCA,T1_E-_CHRY_01,E-,D,7/8/2019,COL12,Gamboa,,9:19 AM,1,0:13:34,0:15:03,2:00:00,1,924.887,924.887,0,MD,1.14.20,,,
CHRYCA,T1_E-_CHRY_02,E+,D,7/8/2019,COL12,Gamboa,,9:19 AM,1,0:14:07,,2:00:00,1,814.082,814.082,0,MD,1.14.20,,,
